Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,SoapCore\SoapCore.csproj,File,SoapCore\MessageEncoder\SoapMessageEncoder.cs,333,4,P:System.ServiceModel.Channels.MessageVersion.Envelope,,,,,"throw new InvalidOperationException($""Message version {message.Version.Envelope} doesn't match encoder version {message.Version.Envelope}"");"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,SoapCore\SoapCore.csproj,File,SoapCore\MessageEncoder\SoapMessageEncoder.cs,333,4,T:System.ServiceModel.Channels.MessageVersion,,,,,"throw new InvalidOperationException($""Message version {message.Version.Envelope} doesn't match encoder version {message.Version.Envelope}"");"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,SoapCore\SoapCore.csproj,File,SoapCore\MessageEncoder\SoapMessageEncoder.cs,333,4,P:System.ServiceModel.Channels.Message.Version,,,,,"throw new InvalidOperationException($""Message version {message.Version.Envelope} doesn't match encoder version {message.Version.Envelope}"");"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,SoapCore\SoapCore.csproj,File,SoapCore\MessageEncoder\SoapMessageEncoder.cs,333,4,T:System.ServiceModel.EnvelopeVersion,,,,,"throw new InvalidOperationException($""Message version {message.Version.Envelope} doesn't match encoder version {message.Version.Envelope}"");"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,SoapCore\SoapCore.csproj,File,SoapCore\MessageEncoder\SoapMessageEncoder.cs,333,4,P:System.ServiceModel.Channels.MessageVersion.Envelope,,,,,"throw new InvalidOperationException($""Message version {message.Version.Envelope} doesn't match encoder version {message.Version.Envelope}"");"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,SoapCore\SoapCore.csproj,File,SoapCore\MessageEncoder\SoapMessageEncoder.cs,331,3,T:System.ServiceModel.Channels.MessageVersion,,,,,"if (!message.Version.Equals(MessageVersion))  			{  				throw new InvalidOperationException($""Message version {message.Version.Envelope} doesn't match encoder version {message.Version.Envelope}"");  			}"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,SoapCore\SoapCore.csproj,File,SoapCore\MessageEncoder\SoapMessageEncoder.cs,331,3,T:System.ServiceModel.Channels.MessageVersion,,,,,"if (!message.Version.Equals(MessageVersion))  			{  				throw new InvalidOperationException($""Message version {message.Version.Envelope} doesn't match encoder version {message.Version.Envelope}"");  			}"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,SoapCore\SoapCore.csproj,File,SoapCore\MessageEncoder\SoapMessageEncoder.cs,331,3,P:System.ServiceModel.Channels.Message.Version,,,,,"if (!message.Version.Equals(MessageVersion))  			{  				throw new InvalidOperationException($""Message version {message.Version.Envelope} doesn't match encoder version {message.Version.Envelope}"");  			}"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,SoapCore\SoapCore.csproj,File,SoapCore\MessageEncoder\SoapMessageEncoder.cs,331,3,M:System.ServiceModel.Channels.MessageVersion.Equals(System.Object),,,,,"if (!message.Version.Equals(MessageVersion))  			{  				throw new InvalidOperationException($""Message version {message.Version.Envelope} doesn't match encoder version {message.Version.Envelope}"");  			}"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,SoapCore\SoapCore.csproj,File,SoapCore\MessageEncoder\SoapMessageEncoder.cs,247,2,T:System.ServiceModel.Channels.MessageVersion,,,,,internal static string GetMediaType(MessageVersion version)
